V11	V8	n
12850	STK11	2
12851	STK11	2
12852	STK11	1
12853	STK11	2
12854	STK11	1
12855	CHEK2	1
12856	CHEK2	1
12859	CHEK2	1
12862	CHEK2	1
12863	CHEK2	1
12864	CHEK2	3
12865	CHEK2	1
12868	CHEK2	1
12869	CHEK2	1
12873	MUTYH	3
12877	MUTYH	1
12880	MUTYH	1
12885	MUTYH	1
12886	EPCAM	1
12894	EPCAM	1
12911	MSH6	1
12929	BARD1	1
12960	BAP1	1
12963	BAP1	1
12967	BAP1	1
12978	APC	1
13004	BMPR1A	1
13026	ATM	1
13028	ATM	1
13097	BRCA2	1
13136	PALB2	1
13137	CDH1	1
13154	TP53	3
13157	TP53	1
13168	RAD51D	1
13202	BRIP1	1
13203	SMAD4	1
13210	SMAD4	1
13213	SMAD4	1
13239	CHEK2	1
13255	MUTYH	1
13256	EPCAM	1
13374	BMPR1A	1
13507	CDH1	1
13636	MUTYH	1
13648	MUTYH	3
13649	EPCAM	1
13650	EPCAM	1
13652	EPCAM	1
13653	EPCAM	1
13654	EPCAM	1
13657	EPCAM	1
13659	MSH2	1
13661	MSH2	1
13662	MSH2	2
13681	MSH6	2
13684	BARD1	1
13688	BARD1	1
13692	BARD1	1
13694	BARD1	2
13701	MLH1	1
13704	MLH1	1
13708	MLH1	1
13709	MLH1	1
13717	BAP1	1
13723	BAP1	2
13724	BAP1	1
13728	BAP1	2
13730	BAP1	2
13731	APC	2
13737	APC	1
13738	APC	1
13739	APC	1
13743	APC	1
13750	PMS2	3
13757	PMS2	1
13759	NBN	1
13763	NBN	2
13773	NBN	3
13778	BMPR1A	1
13779	BMPR1A	1
13784	BMPR1A	1
13786	BMPR1A	1
13789	BMPR1A	1
13791	PTEN	1
13793	PTEN	1
13794	PTEN	1
13799	PTEN	1
13803	ATM	1
13809	ATM	1
13814	ATM	1
13820	ATM	2
13823	ATM	1
13830	ATM	1
13834	ATM	1
13836	ATM	2
13837	ATM	1
13838	ATM	1
13844	ATM	1
13847	ATM	1
13849	ATM	3
13857	ATM	2
13862	ATM	2
13863	CDK4	1
13873	PALB2	1
13875	PALB2	1
13876	PALB2	1
13882	PALB2	1
13883	PALB2	1
13884	CDH1	2
13896	CDH1	1
13901	TP53	2
13902	TP53	1
13908	TP53	1
13911	RAD51D	1
13912	RAD51D	1
13913	RAD51D	1
13916	RAD51D	1
13921	BRCA1	1
13922	BRCA1	1
13924	BRCA1	1
13925	BRCA1	2
13928	BRCA1	1
13933	BRCA1	2
13935	BRCA1	1
13936	BRCA1	3
13939	BRCA1	1
13940	BRCA1	1
13941	BRCA1	1
13943	BRCA1	1
13949	RAD51C	1
13951	RAD51C	1
13955	BRIP1	2
13961	BRIP1	1
13964	BRIP1	2
13966	BRIP1	2
13971	BRIP1	1
13972	BRIP1	1
13986	STK11	1
13991	STK11	1
13996	CHEK2	1
13999	CHEK2	1
14002	CHEK2	2
14003	CHEK2	1
14007	CHEK2	1
14008	CHEK2	1
14009	CHEK2	3
14397	CHEK2	1
14402	MUTYH	1
14403	MUTYH	1
14404	MUTYH	1
14405	MUTYH	1
14406	MUTYH	1
14407	MUTYH	1
14408	MUTYH	3
14409	MUTYH	1
14413	MUTYH	1
14414	EPCAM	3
14427	MSH2	1
14436	MSH2	1
14439	MSH6	2
14443	MSH6	1
14457	BARD1	2
14458	BARD1	1
14477	MLH1	1
14478	MLH1	1
14488	BAP1	1
14495	BAP1	1
14522	PMS2	1
14538	NBN	1
14539	CDKN2A	1
14540	CDKN2A	1
14541	CDKN2A	2
14542	CDKN2A	1
14543	BMPR1A	2
14554	BMPR1A	1
14597	ATM	1
14629	CDK4	1
14631	CDK4	1
14633	CDK4	1
14636	BRCA2	4
14657	BRCA2	1
14666	PALB2	1
14675	PALB2	1
14676	CDH1	1
14677	CDH1	1
14684	CDH1	1
14693	TP53	1
14704	RAD51D	1
14712	RAD51D	2
14718	BRCA1	1
14726	BRCA1	1
14736	RAD51C	1
14764	BRIP1	1
14765	SMAD4	1
14781	STK11	2
14783	STK11	1
14786	STK11	3
14787	CHEK2	1
14792	CHEK2	1
14805	MUTYH	1
14818	EPCAM	1
14931	BMPR1A	1
15045	BRCA2	1
15064	CDH1	1
15171	STK11	1
15193	MUTYH	1
15206	EPCAM	1
15231	MSH6	1
15335	BMPR1A	1
15449	BRCA2	1
15468	CDH1	2
15597	MUTYH	1
15600	MUTYH	1
15602	MUTYH	1
15609	MUTYH	1
15610	EPCAM	2
15635	MSH6	2
15639	MSH6	1
15691	BAP1	1
15718	PMS2	1
15735	CDKN2A	1
15738	CDKN2A	1
15739	BMPR1A	2
15750	BMPR1A	1
15825	CDK4	1
15832	BRCA2	1
15862	PALB2	1
15872	CDH1	1
15880	CDH1	1
15914	BRCA1	1
15922	BRCA1	1
15961	SMAD4	1
15968	SMAD4	1
15979	STK11	1
15982	STK11	1
15988	CHEK2	1
15997	CHEK2	1
16706	TP53	2
16809	MUTYH	1
16940	BMPR1A	1
17179	MUTYH	1
17321	BMPR1A	1
17454	CDH1	2
17583	MUTYH	1
17595	MUTYH	1
17596	EPCAM	1
17621	MSH6	2
17725	BMPR1A	2
17736	BMPR1A	1
17839	BRCA2	1
17848	PALB2	1
17858	CDH1	4
17945	STK11	1
17960	CHEK2	1
17985	EPCAM	1
18256	TP53	1
18368	MUTYH	1
18380	MUTYH	1
18381	EPCAM	1
18680	BRCA1	1
18702	BRCA1	1
19502	MUTYH	1
19635	NBN	1
19644	BMPR1A	1
20155	CDH1	5
20688	MUTYH	1
21095	EPCAM	1
21470	MUTYH	1
21482	MUTYH	1
21483	EPCAM	1
21526	BARD1	1
21612	BMPR1A	1
21874	MUTYH	1
21887	EPCAM	1
23414	SMAD4	1
23454	MUTYH	1
23467	EPCAM	1
23469	EPCAM	1
23908	MLH1	1
23986	NBN	1
24013	ATM	1
24192	SMAD4	1
24226	MUTYH	1
24233	MUTYH	1
24238	MUTYH	2
24239	EPCAM	1
24240	EPCAM	1
24243	EPCAM	1
24246	EPCAM	1
24247	EPCAM	1
24248	MSH2	1
24249	MSH2	1
